,date,year,month,day,estacio,station_name,lat,lon,no2_daily_avg
211,2018-07-11,2018,7,11,4,Barcelona - Poblenou,41.4039,2.2045,31.708333333333332
212,2018-07-11,2018,7,11,42,Barcelona - Sants,41.3788,2.1331,20.65
213,2018-07-11,2018,7,11,43,Barcelona - Eixample,41.3853,2.1538,65.23809523809524
214,2018-07-11,2018,7,11,44,Barcelona - Gràcia,41.3987,2.1534,41.95
215,2018-07-11,2018,7,11,50,Barcelona - Ciutadella,41.3864,2.1874,26.625
216,2018-07-11,2018,7,11,54,Barcelona - Vall Hebron,41.4261,2.148,27.5
217,2018-07-11,2018,7,11,57,Barcelona - Palau Reial,41.3875,2.1151,20.77777777777778
218,2018-07-11,2018,7,11,58,Barcelona - Observ Fabra,41.4183,2.1239,13.875
219,2018-07-12,2018,7,12,4,Barcelona - Poblenou,41.4039,2.2045,30.3125
220,2018-07-12,2018,7,12,42,Barcelona - Sants,41.3788,2.1331,33.0
221,2018-07-12,2018,7,12,43,Barcelona - Eixample,41.3853,2.1538,60.642857142857146
222,2018-07-12,2018,7,12,44,Barcelona - Gràcia,41.3987,2.1534,41.416666666666664
223,2018-07-12,2018,7,12,50,Barcelona - Ciutadella,41.3864,2.1874,25.5625
224,2018-07-12,2018,7,12,54,Barcelona - Vall Hebron,41.4261,2.148,34.0625
225,2018-07-12,2018,7,12,57,Barcelona - Palau Reial,41.3875,2.1151,31.785714285714285
226,2018-07-12,2018,7,12,58,Barcelona - Observ Fabra,41.4183,2.1239,16.1875
227,2018-07-16,2018,7,16,4,Barcelona - Poblenou,41.4039,2.2045,30.0
228,2018-07-16,2018,7,16,42,Barcelona - Sants,41.3788,2.1331,26.0
229,2018-07-16,2018,7,16,43,Barcelona - Eixample,41.3853,2.1538,77.5
230,2018-07-16,2018,7,16,44,Barcelona - Gràcia,41.3987,2.1534,58.5
231,2018-07-16,2018,7,16,50,Barcelona - Ciutadella,41.3864,2.1874,43.0
232,2018-07-16,2018,7,16,54,Barcelona - Vall Hebron,41.4261,2.148,21.5
233,2018-07-16,2018,7,16,57,Barcelona - Palau Reial,41.3875,2.1151,22.5
234,2018-07-16,2018,7,16,58,Barcelona - Observ Fabra,41.4183,2.1239,20.0
235,2018-07-23,2018,7,23,4,Barcelona - Poblenou,41.4039,2.2045,32.0
236,2018-07-23,2018,7,23,42,Barcelona - Sants,41.3788,2.1331,12.75
237,2018-07-23,2018,7,23,43,Barcelona - Eixample,41.3853,2.1538,49.875
238,2018-07-23,2018,7,23,44,Barcelona - Gràcia,41.3987,2.1534,31.625
239,2018-07-23,2018,7,23,50,Barcelona - Ciutadella,41.3864,2.1874,30.333333333333332
240,2018-07-23,2018,7,23,54,Barcelona - Vall Hebron,41.4261,2.148,11.5
241,2018-07-23,2018,7,23,58,Barcelona - Observ Fabra,41.4183,2.1239,8.25
242,2018-07-24,2018,7,24,4,Barcelona - Poblenou,41.4039,2.2045,28.458333333333332
243,2018-07-24,2018,7,24,42,Barcelona - Sants,41.3788,2.1331,17.36842105263158
244,2018-07-24,2018,7,24,43,Barcelona - Eixample,41.3853,2.1538,42.92857142857143
245,2018-07-24,2018,7,24,44,Barcelona - Gràcia,41.3987,2.1534,31.105263157894736
246,2018-07-24,2018,7,24,50,Barcelona - Ciutadella,41.3864,2.1874,25.94736842105263
247,2018-07-24,2018,7,24,54,Barcelona - Vall Hebron,41.4261,2.148,20.26086956521739
248,2018-07-24,2018,7,24,58,Barcelona - Observ Fabra,41.4183,2.1239,7.869565217391305
249,2018-07-25,2018,7,25,4,Barcelona - Poblenou,41.4039,2.2045,52.285714285714285
250,2018-07-25,2018,7,25,42,Barcelona - Sants,41.3788,2.1331,44.608695652173914
251,2018-07-25,2018,7,25,43,Barcelona - Eixample,41.3853,2.1538,68.47368421052632
252,2018-07-25,2018,7,25,44,Barcelona - Gràcia,41.3987,2.1534,66.5
253,2018-07-25,2018,7,25,50,Barcelona - Ciutadella,41.3864,2.1874,60.26086956521739
254,2018-07-25,2018,7,25,54,Barcelona - Vall Hebron,41.4261,2.148,38.608695652173914
255,2018-07-25,2018,7,25,58,Barcelona - Observ Fabra,41.4183,2.1239,19.652173913043477
256,2018-07-26,2018,7,26,4,Barcelona - Poblenou,41.4039,2.2045,62.0
257,2018-07-26,2018,7,26,42,Barcelona - Sants,41.3788,2.1331,37.208333333333336
258,2018-07-26,2018,7,26,43,Barcelona - Eixample,41.3853,2.1538,58.291666666666664
259,2018-07-26,2018,7,26,50,Barcelona - Ciutadella,41.3864,2.1874,64.08333333333333
260,2018-07-26,2018,7,26,54,Barcelona - Vall Hebron,41.4261,2.148,30.75
261,2018-07-26,2018,7,26,58,Barcelona - Observ Fabra,41.4183,2.1239,9.73913043478261
262,2018-07-27,2018,7,27,4,Barcelona - Poblenou,41.4039,2.2045,51.111111111111114
263,2018-07-27,2018,7,27,42,Barcelona - Sants,41.3788,2.1331,27.08695652173913
264,2018-07-27,2018,7,27,43,Barcelona - Eixample,41.3853,2.1538,50.31578947368421
265,2018-07-27,2018,7,27,44,Barcelona - Gràcia,41.3987,2.1534,58.93333333333333
266,2018-07-27,2018,7,27,50,Barcelona - Ciutadella,41.3864,2.1874,48.43478260869565
267,2018-07-27,2018,7,27,54,Barcelona - Vall Hebron,41.4261,2.148,36.82608695652174
268,2018-07-27,2018,7,27,58,Barcelona - Observ Fabra,41.4183,2.1239,8.043478260869565
269,2018-07-28,2018,7,28,4,Barcelona - Poblenou,41.4039,2.2045,35.69565217391305
270,2018-07-28,2018,7,28,42,Barcelona - Sants,41.3788,2.1331,21.875
